ProjectID,Department,StartDate,Funding,EmployeeID,Department,Name,HireDate
5831,A_13,2023-05-12,212000,2,A_13,Employee_2,2023-05-21
11025,A_13,2023-05-11,306000,2,A_13,Employee_2,2023-05-21
25324,A_13,2023-05-20,230000,2,A_13,Employee_2,2023-05-21
24848,A_72,2023-03-03,544000,4,A_72,Employee_4,2023-02-22
25201,A_72,2023-02-21,717000,4,A_72,Employee_4,2023-02-22
27115,A_72,2023-02-16,416000,4,A_72,Employee_4,2023-02-22
1290,A_45,2023-10-30,227000,6,A_45,Employee_6,2023-10-30
9909,A_45,2023-11-07,93000,6,A_45,Employee_6,2023-10-30
11676,A_45,2023-10-25,508000,6,A_45,Employee_6,2023-10-30
14315,A_45,2023-10-25,602000,6,A_45,Employee_6,2023-10-30
20007,A_45,2023-10-27,166000,6,A_45,Employee_6,2023-10-30
7472,A_16,2023-02-16,979000,8,A_16,Employee_8,2023-02-17
9721,A_16,2023-02-26,804000,8,A_16,Employee_8,2023-02-17
12174,A_16,2023-02-13,546000,8,A_16,Employee_8,2023-02-17
6325,A_14,2023-10-20,677000,11,A_14,Employee_11,2023-10-15
26608,A_14,2023-10-25,577000,11,A_14,Employee_11,2023-10-15
17917,A_80,2023-04-19,476000,20,A_80,Employee_20,2023-04-21
7730,A_53,2023-02-09,977000,22,A_53,Employee_22,2023-02-17
23654,A_53,2023-02-19,545000,22,A_53,Employee_22,2023-02-17
6,A_41,2023-10-13,572000,30,A_41,Employee_30,2023-10-10
15349,A_24,2023-11-28,90000,35,A_24,Employee_35,2023-12-05
12133,A_41,2023-05-08,503000,37,A_41,Employee_37,2023-04-30
15975,A_41,2023-04-25,874000,37,A_41,Employee_37,2023-04-30
22631,A_41,2023-04-25,573000,37,A_41,Employee_37,2023-04-30
23538,A_41,2023-04-25,988000,37,A_41,Employee_37,2023-04-30
14237,A_84,2023-07-09,838000,42,A_84,Employee_42,2023-07-09
14309,A_84,2023-07-13,721000,42,A_84,Employee_42,2023-07-09
16487,A_88,2023-10-05,414000,48,A_88,Employee_48,2023-10-01
1610,A_84,2023-08-21,907000,50,A_84,Employee_50,2023-08-25
26485,A_84,2023-09-01,721000,50,A_84,Employee_50,2023-08-25
26510,A_84,2023-08-28,624000,50,A_84,Employee_50,2023-08-25
18268,A_34,2023-04-23,30000,59,A_34,Employee_59,2023-04-19
18789,A_47,2023-01-23,724000,74,A_47,Employee_74,2023-01-25
20333,A_47,2023-01-23,140000,74,A_47,Employee_74,2023-01-25
16659,A_79,2023-11-22,443000,76,A_79,Employee_76,2023-11-18
20596,A_79,2023-11-26,220000,76,A_79,Employee_76,2023-11-18
23391,A_79,2023-11-16,817000,76,A_79,Employee_76,2023-11-18
5326,A_82,2023-12-24,135000,77,A_82,Employee_77,2023-12-15
15699,A_82,2023-12-11,187000,77,A_82,Employee_77,2023-12-15
22985,A_82,2023-12-11,708000,77,A_82,Employee_77,2023-12-15
24615,A_82,2023-12-21,146000,77,A_82,Employee_77,2023-12-15
27059,A_82,2023-12-15,953000,77,A_82,Employee_77,2023-12-15
1016,A_33,2023-07-22,518000,79,A_33,Employee_79,2023-07-17
14789,A_33,2023-07-15,709000,79,A_33,Employee_79,2023-07-17
23804,A_33,2023-07-25,391000,79,A_33,Employee_79,2023-07-17
24773,A_33,2023-07-15,810000,79,A_33,Employee_79,2023-07-17
15445,A_81,2023-08-26,576000,90,A_81,Employee_90,2023-08-21
24184,A_81,2023-08-17,95000,90,A_81,Employee_90,2023-08-21
2106,A_2,2023-05-07,240000,91,A_2,Employee_91,2023-05-15
21049,A_2,2023-05-17,797000,91,A_2,Employee_91,2023-05-15
25026,A_2,2023-05-15,522000,91,A_2,Employee_91,2023-05-15
11944,A_66,2023-12-13,929000,113,A_66,Employee_113,2023-12-04
26045,A_66,2023-11-28,582000,113,A_66,Employee_113,2023-12-04
3244,A_85,2023-05-11,573000,115,A_85,Employee_115,2023-05-16
18882,A_33,2023-07-03,501000,126,A_33,Employee_126,2023-06-23
1689,A_11,2023-11-02,31000,127,A_11,Employee_127,2023-10-29
9283,A_11,2023-11-02,12000,127,A_11,Employee_127,2023-10-29
22787,A_4,2023-02-08,977000,130,A_4,Employee_130,2023-02-06
2074,A_31,2023-04-21,50000,132,A_31,Employee_132,2023-04-28
13308,A_31,2023-05-03,516000,132,A_31,Employee_132,2023-04-28
22269,A_31,2023-05-07,293000,132,A_31,Employee_132,2023-04-28
693,A_35,2023-01-18,311000,133,A_35,Employee_133,2023-01-17
15312,A_35,2023-01-23,279000,133,A_35,Employee_133,2023-01-17
13032,A_37,2023-09-22,898000,135,A_37,Employee_135,2023-09-21
21795,A_37,2023-09-24,854000,135,A_37,Employee_135,2023-09-21
22203,A_37,2023-09-16,416000,135,A_37,Employee_135,2023-09-21
5435,A_68,2023-10-21,692000,139,A_68,Employee_139,2023-10-20
7965,A_68,2023-10-15,99000,139,A_68,Employee_139,2023-10-20
13881,A_68,2023-10-30,784000,139,A_68,Employee_139,2023-10-20
16325,A_68,2023-10-17,756000,139,A_68,Employee_139,2023-10-20
17147,A_68,2023-10-14,767000,139,A_68,Employee_139,2023-10-20
18263,A_68,2023-10-27,321000,139,A_68,Employee_139,2023-10-20
5645,A_98,2023-02-12,284000,143,A_98,Employee_143,2023-02-18
7141,A_98,2023-02-17,517000,143,A_98,Employee_143,2023-02-18
27130,A_98,2023-02-24,749000,143,A_98,Employee_143,2023-02-18
27798,A_98,2023-02-12,979000,143,A_98,Employee_143,2023-02-18
19190,A_50,2023-11-29,674000,144,A_50,Employee_144,2023-12-04
21604,A_50,2023-12-14,996000,144,A_50,Employee_144,2023-12-04
25406,A_50,2023-12-01,308000,144,A_50,Employee_144,2023-12-04
8040,A_32,2023-07-29,34000,150,A_32,Employee_150,2023-07-26
20500,A_32,2023-07-21,86000,150,A_32,Employee_150,2023-07-26
25495,A_32,2023-07-21,727000,150,A_32,Employee_150,2023-07-26
55,A_98,2023-10-01,128000,154,A_98,Employee_154,2023-10-02
475,A_98,2023-09-27,150000,154,A_98,Employee_154,2023-10-02
5277,A_98,2023-10-09,280000,154,A_98,Employee_154,2023-10-02
6730,A_98,2023-10-10,131000,154,A_98,Employee_154,2023-10-02
22949,A_98,2023-10-03,683000,154,A_98,Employee_154,2023-10-02
8693,A_86,2023-07-23,243000,165,A_86,Employee_165,2023-07-28
15539,A_86,2023-07-26,978000,165,A_86,Employee_165,2023-07-28
16820,A_86,2023-08-02,224000,165,A_86,Employee_165,2023-07-28
26366,A_86,2023-08-03,445000,165,A_86,Employee_165,2023-07-28
26551,A_86,2023-07-26,791000,165,A_86,Employee_165,2023-07-28
